player_1	score_1	score_2	player_2	replay
ppx_iqq	5	0	luxfercl	
cristof von roe	5	0	luxfercl	
pipenhocongranadina	5	0	luxfercl	
gouken_iqq	5	0	lowap	https://replay.fightcade.com/fbneo/sfiii3nr1/1693435820797-1527
comicnauta	5	4	gouken_iqq	https://replay.fightcade.com/fbneo/sfiii3nr1/1693436604142-8583
gouken_iqq	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693437880438-7294
ppx_iqq	5	1	fluox_etina	https://replay.fightcade.com/fbneo/sfiii3nr1/1693442160155-8901
comicnauta	5	0	luxfercl	https://replay.fightcade.com/fbneo/sfiii3nr1/1693445711362-5549
gouken_iqq	5	0	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1693446211568-5643
perrito38	5	1	cristof von roe	
gouken_iqq	5	3	franciscois	https://replay.fightcade.com/fbneo/sfiii3nr1/1693446988913-9932
wirox	5	3	gouken_iqq	https://replay.fightcade.com/fbneo/sfiii3nr1/1693448059472-7293
ppx_iqq	5	0	ariel_tapia1984	
perrito38	5	3	franciscois	
perrito38	5	1	ariel_tapia1984	
franciscois	5	0	cristof von roe	
franciscois	5	0	yagger00	
durazno sangrando	5	0	cristof von roe	
franciscois	5	1	elcarnaza1	
elcarnaza1	5	0	gentlemano	
elcarnaza1	5	0	ariel_tapia1984	
franciscois	5	0	gentlemano	
franciscois	5	4	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693492896587-5086
ttvdonjavierlive	5	1	lowap	https://replay.fightcade.com/fbneo/sfiii3nr1/1693503688025-3683
octaseco	5	2	franciscois	
octaseco	5	0	lowap	
metalero	5	1	franciscois	
lowap	5	3	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693513178963-2721
kmion33	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693520118260-1789
kmion33	5	0	durazno sangrando	
kmion33	5	0	lordmastersex	
eduranryu	5	2	lordmastersex	
eduranryu	5	1	xdddlololo	
eduranryu	5	0	lowap	
solido	5	0	durazno sangrando	
eduranryu	5	0	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693527389825-7662
solido	5	2	xno	
xno	5	3	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1693533132987-1720
franciscois	5	0	ariel_tapia1984	
kmion33	5	2	wirox	
daewoo	5	3	diplosaurio	
i_tried	5	4	_onslaught	https://replay.fightcade.com/fbneo/sfiii3nr1/1693536331833-6619
diplosaurio	5	0	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693541526878-2503
wirox	5	1	diplosaurio	
lordmastersex	5	2	gouken_iqq	
gouken_iqq	5	1	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1693605416159-2797
daewoo	5	3	lordmastersex	
durazno sangrando	5	0	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1693604402896-6339
octaseco	5	1	gouken_iqq	
octaseco	5	2	xdddlololo	
franciscois	5	2	fitoxnorris	
octaseco	5	4	lordmastersex	
lordmastersex	5	0	lowap	
lordmastersex	5	1	mewtario	
lordmastersex	5	3	franciscois	
franciscois	5	0	mewtario	
gouken_iqq	5	4	gentlemano	https://replay.fightcade.com/fbneo/sfiii3nr1/1693608378135-2231
kmion33	5	2	perrito38	
gentlemano	5	1	diplosaurio	https://replay.fightcade.com/fbneo/sfiii3nr1/1693618823845-6830
perrito38	5	1	mewtario	
kmion33	5	0	mewtario	
kmion33	5	1	gentlemano	
perrito38	5	2	durazno sangrando	
comicnauta	5	0	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1693603303316-3235
mewtario	5	4	lowap	
lordmastersex	5	0	vicente4c	
solido	5	3	gentlemano	
eduranryu	5	1	mr olympia	
eduranryu	5	0	gentlemano	
rwk	5	0	ttvdonjavierlive	https://replay.fightcade.com/fbneo/sfiii3nr1/1693757754635-6445
ttvdonjavierlive	5	1	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1693758607385-7079
comicnauta	5	3	mr olympia	https://replay.fightcade.com/fbneo/sfiii3nr1/1693690601753-5960
gentlemano	5	2	mr olympia	https://replay.fightcade.com/fbneo/sfiii3nr1/1693699189649-5445
rwk	5	2	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693784400176-4482
yasuoh0	5	0	cristof von roe	
